well_plate,nitrate_concentration,population,cells_per_ml,file_name,path,well,plate,date_time,cell_size,plate_key,acclimation_level,n,nitrate_level,multitron,slot,start_time,days
C02_2,5,21,48418.7596605991,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate2_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,C02,2,2019-06-05T09:33:11Z,63.3,2,LP,P,1,5,16,2019-06-05T09:33:11Z,0
D02_2,5,18,32835.71057442928,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate2_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,D02,2,2019-06-05T09:33:11Z,74.4,2,LP,P,1,5,16,2019-06-05T09:33:11Z,0
E02_2,5,26,26713.798433433985,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate2_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,E02,2,2019-06-05T09:33:11Z,78.1,2,LP,P,1,5,16,2019-06-05T09:33:11Z,0
F02_2,5,28,23931.111096617948,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate2_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,F02,2,2019-06-05T09:33:11Z,63.4,2,LP,P,1,5,16,2019-06-05T09:33:11Z,0
B02_20,100,28,145256.2789817973,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate20_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,B02,20,2019-06-05T13:09:48Z,64.3,2,HP,P,7,4,2,2019-06-05T13:09:48Z,0
C02_20,100,21,436047.10567907355,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate20_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,C02,20,2019-06-05T13:09:48Z,47.8,2,HP,P,7,4,2,2019-06-05T13:09:48Z,0
D02_20,100,18,295799.66390354506,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate20_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,D02,20,2019-06-05T13:09:48Z,59.4,2,HP,P,7,4,2,2019-06-05T13:09:48Z,0
E02_20,100,26,318339.431331755,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate20_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,E02,20,2019-06-05T13:09:48Z,59.2,2,HP,P,7,4,2,2019-06-05T13:09:48Z,0
F02_20,100,28,186161.7828329931,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate20_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,F02,20,2019-06-05T13:09:48Z,65.2,2,HP,P,7,4,2,2019-06-05T13:09:48Z,0
G02_20,100,27,203136.17558757094,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate20_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,G02,20,2019-06-05T13:09:48Z,55.5,2,HP,P,7,4,2,2019-06-05T13:09:48Z,0
