file_name,path,well_plate,well,plate,date_time,cell_size,plate_key,population,acclimation_level,percentage,expt_light_level,multitron,slot,read_at_19_12_18_0900,read_at_19_12_18_1500,start_time,days,light_level,light,cell_count,cells_per_ml
imaging/light-gen5-outputs/Rstar_BF_light_plate13_test_190613_,imaging/light-gen5-outputs/Rstar_BF_light_,C10_13,C10,13,2019-06-13T08:54:12Z,50.8,1,23,LL,0.11,L5,6,9,1,NA,2019-06-11T16:33:26Z,1.681087962962963,5,27.5,445,123829.5864883138
imaging/light-gen5-outputs/Rstar_BF_light_plate13_test_190613_,imaging/light-gen5-outputs/Rstar_BF_light_,D10_13,D10,13,2019-06-13T08:54:12Z,57.5,1,19,LL,0.11,L5,6,9,1,NA,2019-06-11T16:33:26Z,1.681087962962963,5,27.5,462,128560.15496090107
imaging/light-gen5-outputs/Rstar_BF_light_plate13_test_190613_,imaging/light-gen5-outputs/Rstar_BF_light_,E10_13,E10,13,2019-06-13T08:54:12Z,42.1,1,8,LL,0.11,L5,6,9,1,NA,2019-06-11T16:33:26Z,1.681087962962963,5,27.5,2849,792787.6222588898
imaging/light-gen5-outputs/Rstar_BF_light_plate13_test_190613_,imaging/light-gen5-outputs/Rstar_BF_light_,F10_13,F10,13,2019-06-13T08:54:12Z,53.6,1,23,LL,0.11,L5,6,9,1,NA,2019-06-11T16:33:26Z,1.681087962962963,5,27.5,580,161395.86553533035
imaging/light-gen5-outputs/Rstar_BF_light_plate14_test_190611_,imaging/light-gen5-outputs/Rstar_BF_light_,B10_14,B10,14,2019-06-11T16:33:26Z,46,2,2,LL,0.11,L5,6,2,1,NA,2019-06-11T16:33:26Z,0,5,27.5,293,81532.73896870998
imaging/light-gen5-outputs/Rstar_BF_light_plate14_test_190611_,imaging/light-gen5-outputs/Rstar_BF_light_,C10_14,C10,14,2019-06-11T16:33:26Z,48,2,anc2,LL,0.11,L5,6,2,1,NA,2019-06-11T16:33:26Z,0,5,27.5,311,86541.57617497885
imaging/light-gen5-outputs/Rstar_BF_light_plate14_test_190611_,imaging/light-gen5-outputs/Rstar_BF_light_,D10_14,D10,14,2019-06-11T16:33:26Z,45,2,4,LL,0.11,L5,6,2,1,NA,2019-06-11T16:33:26Z,0,5,27.5,598,166404.7027415992
imaging/light-gen5-outputs/Rstar_BF_light_plate14_test_190611_,imaging/light-gen5-outputs/Rstar_BF_light_,E10_14,E10,14,2019-06-11T16:33:26Z,59.5,2,22,LL,0.11,L5,6,2,1,NA,2019-06-11T16:33:26Z,0,5,27.5,308,85706.76997393405
imaging/light-gen5-outputs/Rstar_BF_light_plate14_test_190611_,imaging/light-gen5-outputs/Rstar_BF_light_,F10_14,F10,14,2019-06-11T16:33:26Z,46.3,2,anc2,LL,0.11,L5,6,2,1,NA,2019-06-11T16:33:26Z,0,5,27.5,289,80419.66403398357
imaging/light-gen5-outputs/Rstar_BF_light_plate15_test_190613_,imaging/light-gen5-outputs/Rstar_BF_light_,B10_15,B10,15,2019-06-13T14:38:30Z,54.3,3,29,LL,0.11,L5,6,13,1,NA,2019-06-11T16:33:26Z,1.9201851851851852,5,27.5,474,131899.37976508032
